Week,Higher,Primary,Secondary,Higher Change,Primary Change,Secondary Change
2020-03-23/2020-03-29,354,7,274,0.07598784194528885,0.0,-0.08666666666666667
2020-03-30/2020-04-05,360,7,217,0.016949152542372836,0.0,-0.208029197080292
2020-04-06/2020-04-12,459,19,289,0.2749999999999999,1.7142857142857144,0.33179723502304137
2020-04-13/2020-04-19,320,13,274,-0.30283224400871456,-0.3157894736842105,-0.05190311418685123
2020-04-20/2020-04-26,383,11,286,0.1968749999999999,-0.15384615384615385,0.04379562043795615
2020-04-27/2020-05-03,490,7,370,0.27937336814621405,-0.36363636363636365,0.29370629370629375
2020-05-04/2020-05-10,642,23,414,0.310204081632653,2.2857142857142856,0.11891891891891881
2020-05-11/2020-05-17,635,23,548,-0.010903426791277204,0.0,0.32367149758454117
2020-05-18/2020-05-24,750,22,586,0.1811023622047243,-0.04347826086956519,0.06934306569343063
2020-05-25/2020-05-31,729,20,584,-0.028000000000000025,-0.09090909090909094,-0.0034129692832765013
2020-06-01/2020-06-07,868,25,581,0.19067215363511658,0.25,-0.005136986301369828
2020-06-08/2020-06-14,787,29,603,-0.09331797235023043,0.15999999999999992,0.03786574870912229
2020-06-15/2020-06-21,856,29,583,0.08767471410419314,0.0,-0.03316749585406298
2020-06-22/2020-06-28,679,27,581,-0.20677570093457942,-0.06896551724137934,-0.0034305317324184736
2020-06-29/2020-07-05,813,25,642,0.19734904270986742,-0.07407407407407407,0.10499139414802072
2020-07-06/2020-07-12,760,24,592,-0.06519065190651907,-0.040000000000000036,-0.07788161993769471
2020-07-13/2020-07-19,711,27,581,-0.06447368421052635,0.125,-0.01858108108108103
2020-07-20/2020-07-26,663,17,521,-0.0675105485232067,-0.37037037037037035,-0.10327022375215145
2020-07-27/2020-08-02,705,25,555,0.06334841628959276,0.47058823529411775,0.06525911708253362
2020-08-03/2020-08-09,691,24,562,-0.019858156028368823,-0.040000000000000036,0.012612612612612706
2020-08-10/2020-08-16,722,23,536,0.04486251808972508,-0.04166666666666663,-0.0462633451957295
2020-08-17/2020-08-23,692,20,574,-0.04155124653739617,-0.13043478260869568,0.07089552238805963
2020-08-24/2020-08-30,741,18,603,0.07080924855491322,-0.09999999999999998,0.05052264808362361
2020-08-31/2020-09-06,818,29,638,0.10391363022941968,0.6111111111111112,0.05804311774461035
